capacity,voltage
0,3.066107001
1.075274291,3.100209914
2.258065619,3.123819607
3.655915634,3.144805846
4.946237672,3.160545708
6.12903447,3.173662182
7.634409726,3.184155268
9.139790451,3.197271742
10.96774417,3.210388216
12.68817537,3.220881502
14.83871302,3.236621165
17.09677317,3.249737639
19.1397883,3.260230925
21.93548286,3.273347399
24.62365492,3.286463873
27.09677649,3.302203535
29.46236461,3.312696821
32.25806464,3.320566652
35.16129265,3.331059871
38.06451518,3.338929769
40.86021521,3.349422922
43.76344322,3.354669431
46.66666576,3.359916074
50.10753364,3.367785905
54.08601953,3.37565587
58.49461732,3.383525768
62.6881701,3.391395666
66.66666693,3.399265497
71.39784318,3.409758716
77.7419336,3.42287519
83.44085617,3.433368276
88.06450991,3.451731393
92.58064115,3.464847867
97.09677239,3.472717698
101.0752692,3.483210918
103.9784863,3.491080815
107.6344046,3.496327392
110.6451552,3.504197289
113.2258156,3.514690509
115.5913983,3.530430238
117.6344025,3.543546712
119.2473057,3.561909762
120.9677424,3.580272879
122.4731122,3.59863593
124.0860154,3.616998913
125.4838627,3.640608607
126.6666759,3.658971724
127.9569897,3.68258125
128.9247251,3.708814198
129.784938,3.740293823
130.5376284,3.769150026
131.0752628,3.800629617
131.8279531,3.837355718
132.1505316,3.874081819
132.47311,3.905561377
