capacity,voltage
0,3.401888787
0.537634453,3.383525735
1.18279689,3.373032448
2.258063061,3.37040926
4.086022387,3.367785939
6.129037683,3.367785938
8.17204204,3.365162618
9.784945399,3.365162617
11.72043271,3.362539362
13.87097052,3.357292785
15.69892438,3.352046141
17.63441169,3.346799498
19.56989353,3.341552988
21.39785286,3.338929666
23.22580672,3.333683023
25.16129403,3.323189936
27.09677587,3.312696716
29.56989216,3.302203563
31.93548594,3.278593934
34.73119166,3.25760756
37.95699838,3.23137461
41.61290609,3.202518271
45.59139776,3.176285321
49.46236691,3.144805861
54.62366641,3.115949656
58.06451816,3.09758647
60.86021294,3.079223485
64.62365411,3.063483688
68.27957276,3.047744025
72.58064838,3.029380906
76.98924652,3.008394599
80.86022114,2.990031481
84.19355037,2.971668362
87.74193557,2.953305244
90.43010784,2.932318937
92.04301119,2.916579273
93.65591455,2.892969511
94.94623943,2.874606526
96.34408682,2.853620086
97.41935572,2.824763947
97.95699017,2.806400695
99.03225908,2.76705127
100.322584,2.719832146
101.8279648,2.654249771
102.5806443,2.599160548
103.3333347,2.551941291
104.0860251,2.491605292
105.0537715,2.407660065
106.021507,2.33420759
106.7741974,2.273871992
107.0967759,2.218782769
107.7419438,2.163693414
108.2795782,2.119097612
108.8172127,2.071878088
109.3548471,2.001049335
